epoch,reward,loss,policy_loss,value_loss,entropy
114,0.5511,0.3734,-0.0538,0.9009,4.6606
115,0.5153,0.3755,-0.0514,0.9000,4.6285
116,0.4222,0.3799,-0.0472,0.9001,4.6030
117,0.5195,0.3824,-0.0448,0.9003,4.5871
118,0.5139,0.3767,-0.0503,0.9002,4.6189
119,0.6545,0.3785,-0.0484,0.9002,4.6308
120,0.5263,0.3736,-0.0534,0.9002,4.6209
121,0.4880,0.3746,-0.0524,0.9002,4.6251
122,0.5381,0.3817,-0.0457,0.9014,4.6579
123,0.4636,0.3711,-0.0559,0.8999,4.5975
124,0.6414,0.3830,-0.0442,0.9004,4.6038
125,0.6133,0.3766,-0.0505,0.9002,4.6019
126,0.5373,0.3813,-0.0457,0.9000,4.5906
127,0.5797,0.3790,-0.0478,0.9000,4.6392
128,0.5408,0.3716,-0.0555,0.9004,4.6192
129,0.5128,0.3889,-0.0380,0.9000,4.6181
130,0.5616,0.3807,-0.0471,0.9018,4.6183
131,0.3994,0.3789,-0.0483,0.9007,4.6200
132,0.5112,0.3707,-0.0563,0.9001,4.6067
133,0.6228,0.3880,-0.0391,0.9001,4.5900
134,0.5042,0.3876,-0.0393,0.8998,4.6090
135,0.5304,0.3832,-0.0441,0.9003,4.5801
136,0.5180,0.3796,-0.0476,0.8999,4.5637
137,0.6150,0.3864,-0.0409,0.9005,4.5934
138,0.5287,0.3808,-0.0464,0.9001,4.5601
139,0.5454,0.3891,-0.0380,0.8999,4.5540
140,0.5279,0.3903,-0.0369,0.9000,4.5560
141,0.5471,0.3901,-0.0378,0.9013,4.5474
142,0.6008,0.3862,-0.0411,0.9000,4.5316
143,0.4741,0.3812,-0.0464,0.9006,4.5395
144,0.6267,0.3883,-0.0389,0.8999,4.5431
145,0.5224,0.3926,-0.0349,0.9002,4.5230
146,0.5507,0.3993,-0.0282,0.9003,4.5222
147,0.6036,0.3889,-0.0385,0.9003,4.5292
148,0.5161,0.3880,-0.0394,0.9000,4.5237
149,0.5517,0.3857,-0.0418,0.9003,4.5352
150,0.5661,0.3829,-0.0446,0.9002,4.5130
151,0.4945,0.3860,-0.0413,0.9001,4.5366
152,0.5999,0.3990,-0.0285,0.9000,4.5036
153,0.5376,0.3896,-0.0381,0.9002,4.4859
154,0.6768,0.3791,-0.0487,0.9003,4.4828
155,0.5942,0.3967,-0.0311,0.9001,4.4626
156,0.6872,0.3914,-0.0364,0.9002,4.4524
157,0.6255,0.3979,-0.0298,0.9001,4.4683
158,0.6425,0.4058,-0.0220,0.9003,4.4542
159,0.5606,0.3982,-0.0296,0.9000,4.4512
160,0.6001,0.3936,-0.0345,0.9008,4.4708
161,0.5924,0.3971,-0.0307,0.9001,4.4639
162,0.5847,0.4030,-0.0249,0.9000,4.4358
163,0.5878,0.4022,-0.0255,0.9000,4.4430
164,0.5145,0.4023,-0.0256,0.9000,4.4260
165,0.5589,0.4028,-0.0254,0.9006,4.4239
166,0.6660,0.3995,-0.0288,0.9007,4.4070
167,0.5590,0.3965,-0.0314,0.9001,4.4313
168,0.6388,0.4032,-0.0249,0.9001,4.3965
169,0.6337,0.4027,-0.0254,0.9000,4.3859
170,0.4874,0.3994,-0.0286,0.9000,4.3874
171,0.6829,0.4103,-0.0179,0.9000,4.3770
172,0.6346,0.4124,-0.0160,0.9004,4.3688
173,0.5204,0.4111,-0.0171,0.9001,4.3596
174,0.6716,0.4059,-0.0225,0.9005,4.3707
175,0.6941,0.4045,-0.0239,0.9003,4.3598
176,0.5882,0.4119,-0.0164,0.9000,4.3391
177,0.6472,0.4054,-0.0229,0.9001,4.3382
178,0.6401,0.4112,-0.0172,0.8999,4.3268
179,0.5895,0.4107,-0.0176,0.8999,4.3384
180,0.7068,0.4061,-0.0223,0.9000,4.3128
181,0.6326,0.4132,-0.0154,0.9002,4.2992
182,0.7269,0.4078,-0.0206,0.9000,4.3317
183,0.5461,0.4151,-0.0137,0.9004,4.2831
184,0.6631,0.4215,-0.0071,0.9001,4.2967
185,0.6875,0.4091,-0.0195,0.9001,4.2800
186,0.7423,0.4164,-0.0123,0.9000,4.2690
187,0.6751,0.4126,-0.0160,0.9002,4.2953
188,0.6901,0.4163,-0.0125,0.9002,4.2550
189,0.7045,0.4143,-0.0145,0.9002,4.2539
190,0.7458,0.4152,-0.0138,0.9004,4.2419
191,0.6786,0.4135,-0.0153,0.9000,4.2384
192,0.6026,0.4126,-0.0164,0.9002,4.2227
193,0.6703,0.4151,-0.0139,0.9003,4.2358
194,0.7061,0.4169,-0.0120,0.9000,4.2097
195,0.7031,0.4185,-0.0106,0.9001,4.1974
196,0.6969,0.4193,-0.0100,0.9004,4.1948
197,0.6715,0.4182,-0.0110,0.9002,4.1941
