epoch,reward,loss,policy_loss,value_loss,entropy
118,15.2901,0.7694,0.3526,0.8905,5.6777
119,20.4302,0.5677,0.1324,0.9274,5.6798
120,23.8647,0.6316,0.1609,0.9981,5.6797
121,25.2965,0.5749,0.1385,0.9296,5.6776
122,24.7983,0.5779,0.1073,0.9981,5.6800
123,16.7210,0.6815,0.2281,0.9636,5.6791
124,24.0061,0.7812,0.3500,0.9192,5.6778
125,24.7844,0.8522,0.3795,1.0021,5.6783
126,26.2579,0.5649,0.1598,0.8669,5.6784
127,21.7272,0.5952,0.2070,0.8332,5.6777
128,19.5827,0.4973,0.0760,0.8994,5.6777
129,19.8581,0.5221,0.0704,0.9602,5.6782
130,20.0153,0.4942,0.0890,0.8671,5.6775
131,18.2770,0.6085,0.1597,0.9545,5.6799
132,12.5581,0.7210,0.2594,0.9800,5.6777
133,31.0353,0.7023,0.2189,1.0236,5.6790
134,24.0764,0.7666,0.3394,0.9112,5.6785
135,20.8265,0.4719,0.0479,0.9048,5.6784
136,15.5601,0.6299,0.1814,0.9538,5.6772
137,20.4514,0.6508,0.2627,0.8330,5.6799
138,33.7695,0.5278,0.1228,0.8669,5.6789
139,22.2472,0.5898,0.1198,0.9969,5.6798
140,31.7994,0.6227,0.1944,0.9134,5.6798
141,34.7136,0.6945,0.2611,0.9234,5.6789
142,20.7997,0.7000,0.2665,0.9236,5.6777
143,28.9804,0.5396,0.1409,0.8543,5.6806
144,24.6994,0.6355,0.2190,0.8898,5.6778
145,22.6892,0.6216,0.2141,0.8719,5.6780
146,18.4041,0.7537,0.3373,0.8897,5.6785
147,28.6081,0.5751,0.1351,0.9367,5.6789
148,19.4030,0.6986,0.2506,0.9527,5.6768
149,24.1375,0.7158,0.2819,0.9246,5.6790
150,24.6083,0.8640,0.4045,0.9758,5.6759
151,14.2300,0.4664,0.0519,0.8859,5.6786
152,21.9498,0.6762,0.2232,0.9627,5.6783
153,23.0943,0.6725,0.1856,1.0306,5.6793
154,22.2532,0.5637,0.1450,0.8940,5.6781
155,20.8824,0.6774,0.1972,1.0172,5.6775
156,26.5249,0.5165,0.0880,0.9137,5.6781
157,19.1507,0.5752,0.1615,0.8841,5.6781
158,40.2050,0.6393,0.1541,1.0273,5.6804
159,21.7811,0.6778,0.2307,0.9510,5.6787
160,16.5457,0.6059,0.1623,0.9440,5.6788
161,26.5289,0.6344,0.1874,0.9508,5.6772
162,31.4081,0.5081,0.0510,0.9710,5.6772
163,20.0587,0.4277,0.0208,0.8705,5.6796
164,20.8055,0.5741,0.1432,0.9186,5.6780
165,30.2625,0.6274,0.2044,0.9029,5.6798
166,21.7867,0.5680,0.1139,0.9648,5.6749
167,14.6792,0.5942,0.1199,1.0055,5.6805
168,18.8056,0.6597,0.2269,0.9224,5.6802
169,15.3162,0.5995,0.2001,0.8555,5.6775
170,26.8908,0.5632,0.1244,0.9344,5.6814
171,22.4366,0.4901,0.0322,0.9727,5.6765
172,15.4226,0.8032,0.3544,0.9544,5.6784
173,15.7741,0.6820,0.1791,1.0627,5.6779
174,13.8225,0.6313,0.1927,0.9341,5.6766
175,25.8006,0.5099,0.0308,1.0149,5.6778
176,15.7867,0.5368,0.0825,0.9654,5.6785
177,27.8264,0.4814,0.0866,0.8463,5.6808
178,27.7808,0.4986,0.0812,0.8916,5.6782
179,18.6717,0.7340,0.2939,0.9370,5.6798
180,16.2844,0.6993,0.2171,1.0212,5.6783
181,21.5591,0.5972,0.1513,0.9486,5.6793
182,24.5571,0.6145,0.1685,0.9489,5.6788
183,21.7597,0.6529,0.1865,0.9896,5.6788
184,14.2168,0.8267,0.4037,0.9028,5.6791
185,26.4737,0.6159,0.2028,0.8829,5.6796
186,20.2940,0.4616,0.0147,0.9506,5.6790
187,25.9732,0.6060,0.1633,0.9424,5.6795
188,15.4133,0.7863,0.3370,0.9554,5.6812
189,18.1111,0.6822,0.2604,0.9003,5.6800
190,14.8246,0.5404,0.0728,0.9919,5.6792
191,22.7072,0.5054,0.0452,0.9771,5.6792
192,18.7206,0.6011,0.1837,0.8917,5.6798
193,21.6689,0.7479,0.3273,0.8980,5.6789
194,21.3578,0.6665,0.1857,1.0185,5.6782
195,25.7963,0.5119,0.0878,0.9051,5.6786
196,18.8490,0.7254,0.2388,1.0300,5.6781
197,27.9972,0.5487,0.0905,0.9732,5.6788
198,23.1558,0.7175,0.2826,0.9265,5.6787
199,19.1827,0.7709,0.2849,1.0289,5.6788
200,23.5301,0.9713,0.5216,0.9563,5.6771
201,15.6825,0.5066,0.0828,0.9044,5.6782
202,22.6331,0.5935,0.1532,0.9373,5.6798
203,18.5611,0.5039,0.0816,0.9013,5.6794
204,24.1719,0.5144,0.0690,0.9477,5.6790
205,17.2599,0.7046,0.2073,1.0515,5.6786
206,20.8861,0.7365,0.3060,0.9179,5.6784
207,18.8464,0.8495,0.4001,0.9554,5.6762
208,28.4648,0.6033,0.1296,1.0042,5.6784
209,24.2029,0.6122,0.1685,0.9441,5.6787
210,20.3647,0.4512,0.0319,0.8955,5.6787
211,20.7000,0.6019,0.1452,0.9701,5.6785
212,17.6371,0.6110,0.1773,0.9242,5.6781
213,13.2903,0.6119,0.1635,0.9535,5.6789
214,18.9514,0.8381,0.4040,0.9250,5.6799
215,19.7503,0.6862,0.2862,0.8569,5.6799
216,35.7577,0.6933,0.1987,1.0460,5.6774
217,25.2127,0.7256,0.2863,0.9355,5.6803
218,28.4369,0.6667,0.1815,1.0273,5.6792
219,19.8706,0.5958,0.1750,0.8983,5.6791
220,14.8396,0.5471,0.0918,0.9674,5.6781
221,21.6404,0.7269,0.2070,1.0966,5.6777
222,20.1004,0.5226,0.0910,0.9199,5.6785
223,20.8664,0.5125,0.0625,0.9568,5.6782
224,19.9714,0.7414,0.3051,0.9295,5.6794
225,42.0375,0.6314,0.2050,0.9095,5.6791
226,15.6308,0.6403,0.1988,0.9399,5.6793
227,29.8216,0.5983,0.1603,0.9328,5.6787
228,33.9531,0.7428,0.2928,0.9569,5.6807
229,21.1878,0.4858,0.0539,0.9205,5.6792
230,34.5779,0.6485,0.2268,0.9001,5.6779
231,25.1161,0.6861,0.2194,0.9902,5.6790
232,19.1145,0.4476,0.0140,0.9238,5.6781
233,19.6736,0.5540,0.0636,1.0376,5.6778
234,11.1266,0.6409,0.1428,1.0530,5.6801
235,17.4811,0.5347,0.0768,0.9726,5.6789
236,30.7522,0.4943,0.1005,0.8443,5.6784
237,24.7981,0.5706,0.1058,0.9864,5.6800
238,15.3373,0.6289,0.2038,0.9069,5.6783
239,23.8831,0.5275,0.0586,0.9947,5.6811
240,12.1123,0.4828,0.0307,0.9609,5.6785
241,14.3670,0.6698,0.2178,0.9607,5.6776
242,19.9300,0.6039,0.1658,0.9329,5.6762
243,14.8850,0.5929,0.1577,0.9272,5.6788
244,17.9236,0.5601,0.1252,0.9265,5.6783
245,18.5283,0.7342,0.2635,0.9981,5.6790
246,25.4110,0.4426,-0.0009,0.9438,5.6798
247,34.4764,0.4903,0.0322,0.9730,5.6796
248,28.8969,0.7747,0.3086,0.9889,5.6784
249,27.5306,0.5413,0.0766,0.9861,5.6782
250,36.3008,0.5445,0.0978,0.9503,5.6800
251,21.0358,0.5253,0.1044,0.8987,5.6791
252,26.5977,0.7333,0.3105,0.9024,5.6794
253,18.6810,0.5288,0.1086,0.8973,5.6768
254,21.9477,0.6342,0.1679,0.9894,5.6775
255,35.5898,0.6358,0.1870,0.9545,5.6776
256,23.4797,0.5582,0.0691,1.0350,5.6780
257,12.6929,0.6082,0.1436,0.9860,5.6805
258,17.7821,0.6563,0.2590,0.8514,5.6787
259,19.9767,0.6695,0.2582,0.8794,5.6792
260,38.9890,0.5053,0.0666,0.9343,5.6783
261,21.7819,0.5056,0.0365,0.9951,5.6787
262,15.0545,0.6193,0.1832,0.9290,5.6789
263,17.0323,0.7288,0.3175,0.8793,5.6776
264,16.2264,0.8808,0.4023,1.0139,5.6770
265,18.9746,0.7151,0.2642,0.9587,5.6786
266,41.9021,0.6831,0.2090,1.0050,5.6758
267,17.0208,0.5807,0.1555,0.9071,5.6796
268,19.2994,0.7449,0.2968,0.9530,5.6788
269,21.2563,0.5266,0.1218,0.8663,5.6795
270,15.3510,0.7064,0.2327,1.0042,5.6790
271,20.8465,0.7326,0.2909,0.9402,5.6793
272,25.1529,0.5877,0.1409,0.9505,5.6816
273,27.3147,0.7132,0.2722,0.9388,5.6801
274,29.9569,0.7033,0.2666,0.9301,5.6778
275,16.8390,0.4572,0.0032,0.9647,5.6775
276,25.5403,0.9279,0.4346,1.0435,5.6794
277,16.3139,0.5943,0.0950,1.0554,5.6782
278,16.5554,0.4824,0.0835,0.8546,5.6798
279,13.5962,0.7198,0.2757,0.9451,5.6786
280,22.4586,0.4521,0.0388,0.8834,5.6803
281,22.6456,0.6014,0.1813,0.8970,5.6785
282,23.4349,0.5711,0.1110,0.9770,5.6792
283,18.8873,0.5894,0.1303,0.9750,5.6765
284,20.6185,0.5654,0.0947,0.9981,5.6791
285,27.4573,0.6638,0.2106,0.9631,5.6795
286,18.6098,0.5696,0.1374,0.9212,5.6792
287,23.5748,0.5181,0.1138,0.8654,5.6792
288,17.9694,0.6552,0.2026,0.9620,5.6775
289,21.7118,0.7570,0.2977,0.9754,5.6779
290,19.1692,0.6490,0.1827,0.9894,5.6777
291,23.8961,0.4437,0.0030,0.9384,5.6810
292,12.0494,0.6371,0.2045,0.9218,5.6784
293,19.1639,0.4868,0.0629,0.9045,5.6793
294,16.4094,0.5813,0.1492,0.9209,5.6786
295,28.2413,0.8789,0.3789,1.0569,5.6803
296,14.2303,0.6041,0.1063,1.0525,5.6788
297,23.8381,0.4960,0.0669,0.9151,5.6771
298,33.1400,0.7451,0.2727,1.0016,5.6768
299,31.9959,0.6976,0.2510,0.9499,5.6784
