Identifier,Reward,Value
Epoch_1_Episode_1,1.6672718237172532,-18.194393157958984
Epoch_1_Episode_2,0.8716854195044548,-20.510387420654297
Epoch_1_Episode_3,0.43416197705103554,-43.6721305847168
Epoch_1_Episode_1,40.28069744894066,-2.0471982955932617
Epoch_1_Episode_2,0.6021589235041815,-11.506360054016113
Epoch_1_Episode_3,0.5221561766905416,-4.453100681304932
Epoch_2_Episode_1,0.38725441340185823,27.143478393554688
Epoch_2_Episode_2,0.7913197047880458,27.7493953704834
Epoch_2_Episode_3,0.24997294357105887,28.75275230407715
Epoch_3_Episode_1,1.320651232873794,-0.7517523765563965
Epoch_3_Episode_2,0.2621413104246988,-10.551191329956055
Epoch_3_Episode_3,3.3210674015102577,4.451308250427246
Epoch_4_Episode_1,5.942221963049146,-10.575146675109863
Epoch_4_Episode_2,1.6957993468569075,-12.154061317443848
Epoch_4_Episode_3,4.747837535767454,-16.5548152923584
Epoch_5_Episode_1,0.8787923966557667,2.537959575653076
Epoch_5_Episode_2,2.421194236643627,-4.87251091003418
Epoch_5_Episode_3,1.516322962077758,-9.60981559753418
Epoch_6_Episode_1,0.16206807078016777,13.9580717086792
Epoch_6_Episode_2,4.374284671177785,15.142778396606445
Epoch_6_Episode_3,0.24760414189622448,14.541584014892578
Epoch_7_Episode_1,2.470503980524656,3.623080015182495
Epoch_7_Episode_2,1.2092606529636925,5.186007976531982
Epoch_7_Episode_3,3.9459689607918156,7.717329502105713
Epoch_8_Episode_1,3.6735545554323337,0.21355098485946655
Epoch_8_Episode_2,0.2817825864816417,4.84490442276001
Epoch_8_Episode_3,0.1880826559220595,0.5770730972290039
Epoch_9_Episode_1,0.5396458893025661,-7.818878173828125
Epoch_9_Episode_2,0.31357878928367533,10.52147102355957
Epoch_9_Episode_3,0.19910126800278377,2.247929334640503
Epoch_10_Episode_1,0.19940152153887686,1.627000093460083
Epoch_10_Episode_2,2.3538643057293687,-4.8448920249938965
Epoch_10_Episode_3,18.591357569351814,-3.316220998764038
Epoch_11_Episode_1,1.1955948770621032,8.253681182861328
Epoch_11_Episode_2,2.429679466367632,5.509033679962158
Epoch_11_Episode_3,1.4311052937935083,5.574311256408691
Epoch_12_Episode_1,12.037101308826404,5.547451496124268
Epoch_12_Episode_2,2.438407466879377,11.287308692932129
Epoch_12_Episode_3,0.679979891422011,9.361303329467773
Epoch_1_Episode_1,2.2640088609725355,-45.34402084350586
Epoch_1_Episode_2,18.999507647884723,-53.51729965209961
Epoch_1_Episode_3,0.26938652103144783,11.450725555419922
Epoch_2_Episode_1,0.3712123097085964,16.502426147460938
Epoch_2_Episode_2,0.44367030055747003,-22.02406883239746
Epoch_2_Episode_3,23.024275088749015,4.806418418884277
Epoch_3_Episode_1,2.795551258069742,21.555418014526367
Epoch_3_Episode_2,2.096338631840635,32.505863189697266
Epoch_3_Episode_3,1.4116528568819877,-107.12943267822266
Epoch_4_Episode_1,1.4471856210175067,1.0696674585342407
Epoch_4_Episode_2,1.0268112377010765,-17.18282127380371
Epoch_4_Episode_3,0.8768888875942895,-9.930662155151367
Epoch_5_Episode_1,2.290755836218112,-34.39653778076172
Epoch_5_Episode_2,7.233657384450349,-35.46817398071289
Epoch_5_Episode_3,2.247410385981734,15.093133926391602
