number,value,datetime_start,datetime_complete,duration,params_T_max,params_clip_epsilon,params_entropy_coef,params_eta_min,params_gae_lambda,params_gamma,params_lr,params_scheduler,params_value_loss_coef,state
12,30.70370356241862,2025-03-13 23:20:40.600537,2025-03-13 23:33:39.600401,0 days 00:12:58.999864,39,0.05141791281472245,0.09170948963522499,1.2494481803721078e-07,0.9527689864673339,0.9861469560334785,0.0008377139838295375,cosine,0.9799559692619307,COMPLETE
13,63.15740712483724,2025-03-13 23:32:10.720863,2025-03-13 23:58:05.937942,0 days 00:25:55.217079,5,0.2968454098678337,0.02292416051232042,9.248548739770274e-07,0.9831883354054303,0.9630977366508586,0.0004585621309841817,step,0.23718845880224107,COMPLETE
14,36.854762395222984,2025-03-13 23:32:17.233479,2025-03-13 23:45:21.260915,0 days 00:13:04.027436,10,0.13782606770925004,0.024533370533732037,5.657929304437278e-06,0.9660796111877608,0.9544669026842086,0.0009663842925754971,step,0.18499573893816523,COMPLETE
15,29.675925572713215,2025-03-13 23:34:48.824328,2025-03-13 23:47:38.093797,0 days 00:12:49.269469,38,0.25026297702061867,0.003063252163171854,1.4044106597401486e-07,0.9177367282842577,0.9605467366357799,8.81318077043575e-05,step,0.6687196776882556,COMPLETE
16,97.37037150065105,2025-03-13 23:36:50.283904,2025-03-14 00:06:31.308073,0 days 00:29:41.024169,49,0.21594253409844333,0.00244714873782544,9.290941355166688e-06,0.9517651405815184,0.9744994477092704,0.0003264618403084604,cosine,0.7687139947167169,COMPLETE
17,13.333333333333334,2025-03-13 23:48:48.457031,2025-03-14 00:02:10.883323,0 days 00:13:22.426292,39,0.12010514289703413,0.003427989006540459,4.167026614592705e-06,0.9245379037765465,0.9972632132033842,1.9509000167647267e-05,step,0.9748346611114859,COMPLETE
18,39.14351940155029,2025-03-14 00:00:03.702047,2025-03-14 00:20:23.878753,0 days 00:20:20.176706,45,0.17812906094546777,0.00018220209031226335,9.19739771211398e-06,0.9464097238631012,0.9701145209735068,3.432582647870749e-05,cosine,0.2730849267473531,COMPLETE
19,51.90476163228353,2025-03-14 00:03:35.084014,2025-03-14 00:16:34.910351,0 days 00:12:59.826337,15,0.20228690349150552,0.012582293064611545,7.139056953882144e-06,0.9361675749360697,0.9521114740373072,0.0001201647108088958,step,0.45180126711292334,COMPLETE
20,81.25462849934895,2025-03-14 00:06:27.250356,2025-03-14 00:21:19.339033,0 days 00:14:52.088677,36,0.05601497399539836,0.0007754218520972938,7.861679773176281e-06,0.9195631526411928,0.9706581157496639,0.00026875087469628036,cosine,0.6836727604099812,COMPLETE
21,53.527777353922524,2025-03-14 00:07:54.224674,2025-03-14 00:39:03.893441,0 days 00:31:09.668767,49,0.08797243254741562,0.0001792581764612433,8.236965809074843e-07,0.939422913593931,0.9585116169630378,0.0001593486805548546,cosine,0.4010408789209601,COMPLETE
