epoch,reward,loss,policy_loss,value_loss,entropy
117,76.1613,0.4146,-0.0233,0.9255,4.9794
118,100.8321,0.4723,0.0141,0.9660,4.9614
119,84.2470,0.4491,0.0196,0.9085,4.9513
120,84.1859,0.4178,-0.0255,0.9361,4.9360
121,54.7536,0.4591,0.0289,0.9098,4.9248
122,73.3806,0.4798,0.0284,0.9520,4.9103
123,56.6695,0.4748,0.0585,0.8815,4.9004
124,68.8376,0.3941,0.0016,0.8338,4.8855
125,80.6817,0.4582,0.0123,0.9403,4.8469
126,69.7424,0.4297,0.0022,0.9032,4.8295
127,86.7052,0.4297,0.0128,0.8823,4.8342
128,81.8125,0.4350,0.0267,0.8653,4.8736
129,87.4329,0.4524,-0.0011,0.9556,4.8604
130,92.3600,0.4396,-0.0049,0.9375,4.8288
131,73.8372,0.5206,0.0605,0.9686,4.8392
132,60.6969,0.3843,-0.0399,0.8967,4.8314
133,85.5530,0.3962,-0.0266,0.8937,4.7950
134,90.5774,0.4787,0.0412,0.9232,4.8105
135,90.2067,0.5575,0.1092,0.9448,4.8190
136,79.5996,0.4411,0.0013,0.9275,4.7876
137,66.9554,0.4214,-0.0176,0.9257,4.7568
138,83.9176,0.4684,0.0006,0.9827,4.7109
139,104.4173,0.4937,0.0259,0.9824,4.6962
140,80.7075,0.4254,-0.0163,0.9301,4.6786
141,67.0280,0.4529,0.0204,0.9117,4.6785
142,99.6232,0.4407,0.0121,0.9034,4.6252
143,104.8185,0.4853,0.0673,0.8821,4.6097
144,85.1781,0.3785,-0.0354,0.8742,4.6223
145,106.4112,0.3693,-0.0210,0.8267,4.6176
146,97.3249,0.4436,-0.0237,0.9808,4.6236
147,88.4060,0.4796,0.0632,0.8792,4.6342
148,93.0804,0.4006,-0.0359,0.9197,4.6574
149,97.2279,0.4369,-0.0124,0.9450,4.6316
150,96.1556,0.4887,0.0207,0.9825,4.6380
151,90.8932,0.4233,0.0069,0.8792,4.6362
152,97.5258,0.3629,-0.0435,0.8590,4.6257
153,69.8218,0.4575,0.0036,0.9540,4.6156
154,71.3245,0.3794,-0.0348,0.8745,4.6134
155,91.7921,0.5430,0.0929,0.9464,4.6139
156,81.7046,0.4257,-0.0332,0.9639,4.5947
157,94.6129,0.3826,-0.0520,0.9149,4.5794
158,84.8761,0.4169,0.0075,0.8647,4.5833
159,95.6963,0.4483,0.0104,0.9219,4.5979
160,67.6925,0.4230,0.0042,0.8835,4.6015
161,96.0502,0.4045,-0.0386,0.9325,4.6077
162,61.4446,0.4104,-0.0250,0.9168,4.6044
163,78.4932,0.4227,-0.0317,0.9549,4.5997
164,108.2644,0.4638,0.0072,0.9591,4.5898
165,97.6579,0.3857,-0.0401,0.8975,4.5866
166,83.8986,0.4422,0.0104,0.9096,4.6029
167,92.1857,0.4767,0.0193,0.9609,4.5985
168,89.4977,0.4475,0.0207,0.8995,4.5917
169,78.6467,0.4259,-0.0053,0.9083,4.5911
170,67.9638,0.5321,0.0941,0.9218,4.5787
171,69.5863,0.5210,0.0815,0.9247,4.5676
172,90.7126,0.4074,-0.0290,0.9178,4.4884
173,102.0405,0.4131,-0.0442,0.9588,4.4201
174,106.0657,0.4710,0.0392,0.9074,4.3789
175,100.8657,0.4914,0.0553,0.9160,4.3773
176,97.8331,0.3975,-0.0355,0.9095,4.3498
177,95.3455,0.4384,0.0068,0.9069,4.3586
178,102.7061,0.3838,-0.0531,0.9171,4.3366
179,85.1425,0.4656,0.0270,0.9205,4.3395
180,92.3450,0.4210,-0.0378,0.9611,4.3493
181,118.7888,0.4040,-0.0356,0.9228,4.3602
182,93.4008,0.4280,0.0008,0.8976,4.3213
183,112.8692,0.4651,0.0452,0.8831,4.3210
184,110.1171,0.3970,-0.0430,0.9234,4.3346
185,105.3550,0.5021,0.0515,0.9443,4.3029
