ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1288,312,0,0.805,0.195,0.000
2,1156,444,0,0.723,0.278,0.000
3,1130,470,0,0.706,0.294,0.000
4,1336,264,0,0.835,0.165,0.000
5,1054,546,0,0.659,0.341,0.000
