Epoch,Reward,Burned Cells,Loss,Time Elapsed
1,-375.5399993896484,187.77,0.0,5.388821363449097
2,-341.99999542236327,171.00000000000003,0.0,4.867475509643555
3,-353.2600036621094,176.63,0.0,4.63126277923584
4,-392.8000030517578,196.39999999999998,0.0,4.72502589225769
5,-328.32000427246095,164.16,0.0,4.683624744415283
6,-373.1800018310547,186.58999999999997,0.0,5.040030002593994
7,-363.42000274658204,181.70999999999998,172002.296875,13.730717182159424
8,-313.47999420166013,156.74,122722.296875,4.645873069763184
9,-378.43999938964845,189.22,85165.1484375,4.62960958480835
10,-377.7200012207031,188.86,54290.44921875,5.294101715087891
11,-349.35999908447263,174.68,38920.2578125,4.690839767456055
12,-314.90000305175784,157.45,17304.990234375,4.8734681606292725
13,-343.7000015258789,171.85,9304.060546875,4.948963642120361
14,-301.45999908447266,150.73,11399.4912109375,4.608554124832153
15,-356.24000244140626,178.12,20676.009765625,4.735257863998413
16,-388.94000244140625,194.47,25853.24609375,5.0406599044799805
17,-334.179997253418,167.09,22734.20703125,4.776731729507446
18,-323.7999984741211,161.9,20028.703125,4.660581350326538
19,-330.14000396728517,165.07,12535.0537109375,4.702789783477783
20,-322.13999938964844,161.07,8146.7919921875,4.747849941253662
21,-359.1199981689453,179.56,7201.2177734375,4.978654146194458
22,-349.2800048828125,174.64,7846.9462890625,4.926335334777832
23,-340.76000213623047,170.38,9406.2998046875,4.728943824768066
24,-304.26000213623047,152.13000000000002,8125.0859375,4.694984197616577
25,-313.67999877929685,156.84,10321.822265625,4.738985538482666
26,-329.2799987792969,164.64000000000001,10795.998046875,5.065683126449585
27,-344.1999984741211,172.1,11045.546875,5.0023887157440186
28,-390.3,195.15,9538.767578125,4.532954454421997
29,-377.5,188.75,7864.1875,4.939913988113403
30,-336.90000305175784,168.45,7853.3681640625,5.0617077350616455
31,-373.7799987792969,186.89000000000001,8198.02734375,4.78634238243103
32,-355.35999450683596,177.68000000000004,6984.3115234375,4.849610090255737
33,-343.82000122070315,171.91000000000003,5763.5732421875,4.895940780639648
34,-375.47999877929686,187.74,6152.04541015625,5.2518486976623535
35,-387.0,193.49999999999997,7038.3515625,4.819202184677124
36,-371.40000305175784,185.7,6663.4833984375,4.963595628738403
37,-369.2999984741211,184.64999999999998,9022.412109375,4.71635627746582
38,-372.74000244140626,186.37,6908.9423828125,4.776062965393066
39,-354.5399963378906,177.27,8732.7919921875,5.089795827865601
40,-359.36000366210936,179.68,9248.322265625,5.108296632766724
41,-335.9800003051758,167.99000000000004,8865.8173828125,5.233943939208984
42,-352.7000030517578,176.34999999999997,7504.7763671875,4.809100866317749
43,-380.13999938964844,190.07,5652.44775390625,4.784458637237549
44,-355.0,177.5,5264.4580078125,4.727090120315552
45,-376.76000061035154,188.38000000000002,7491.5546875,5.138561725616455
46,-324.6800018310547,162.34,7801.82666015625,4.749870538711548
47,-369.3600021362305,184.68,6373.09912109375,4.853888273239136
48,-304.9000015258789,152.45,7570.30078125,4.44922947883606
49,-374.3,187.15,7505.265625,5.072624206542969
50,-370.32000122070315,185.16,5612.658203125,4.9653801918029785
51,-329.2600036621094,164.63,5005.35400390625,4.995612144470215
52,-354.2200012207031,177.11,5420.44287109375,4.993884801864624
53,-371.84000091552736,185.92000000000002,5027.7109375,4.864135026931763
54,-357.5399993896484,178.76999999999998,4389.103515625,4.765791654586792
55,-319.83999786376955,159.92000000000002,5728.25146484375,4.509787321090698
56,-376.2200012207031,188.10999999999999,5668.0634765625,4.60944938659668
57,-344.27999725341795,172.14000000000001,5672.962890625,4.992394685745239
58,-333.36000061035156,166.68,5603.9345703125,4.877775192260742
59,-364.2799987792969,182.14000000000001,3894.126953125,4.846624135971069
60,-347.7000015258789,173.85,4579.78173828125,4.853388071060181
61,-372.04000396728514,186.01999999999998,6438.7880859375,5.022300481796265
62,-346.4600067138672,173.22999999999996,4693.9951171875,5.034597873687744
63,-301.0399963378906,150.52,4978.1845703125,4.800310373306274
64,-315.32000427246095,157.66,4048.75,4.913802862167358
65,-272.5199966430664,136.26,4492.72216796875,4.987361431121826
66,-313.6800018310547,156.84,5637.9814453125,4.741602182388306
67,-332.85999755859376,166.43,6279.26708984375,4.648206949234009
68,-323.0,161.50000000000003,5865.5439453125,4.942093372344971
69,-327.93999938964845,163.97000000000003,3267.203857421875,4.831616640090942
70,-335.94000244140625,167.96999999999997,5447.49169921875,4.740794897079468
71,-329.53999481201174,164.77,5064.29345703125,4.969214916229248
72,-319.44000244140625,159.72,5114.787109375,4.874391078948975
