Epoch,Reward,Burned Cells,Loss,Time Elapsed
1,-343.0199996948242,171.51,0.0,4.922178506851196
2,-271.5599990844727,135.78000000000003,0.0,4.328384637832642
3,-332.020002746582,166.01,0.0,4.495404481887817
4,-331.0599960327148,165.53000000000003,0.0,4.704617738723755
5,-369.2800018310547,184.64,0.0,4.505305767059326
6,-324.95999908447266,162.48000000000002,0.0,4.516583204269409
7,-341.88000030517577,170.94,112951.8125,5.679657936096191
8,-411.29999389648435,205.65000000000003,125111.1640625,4.951791524887085
9,-367.17999877929685,183.59,122179.9609375,4.80127215385437
10,-359.34000091552736,179.67,129901.8515625,5.000571012496948
11,-300.4999969482422,150.25000000000003,112905.296875,4.7265095710754395
12,-364.9600006103516,182.48,126131.796875,4.816638946533203
13,-314.5399963378906,157.27,122413.046875,4.913918972015381
14,-364.3800018310547,182.19,131529.46875,4.955129623413086
15,-348.43999938964845,174.22,128656.6875,4.96979832649231
16,-309.9199981689453,154.95999999999998,126998.078125,5.275892496109009
17,-390.43999938964845,195.22,126851.2890625,5.321948528289795
18,-359.97999877929686,179.99,124681.625,5.13162088394165
19,-321.2999984741211,160.65,122592.796875,4.771514654159546
20,-333.3799987792969,166.69,125820.5859375,4.996347904205322
21,-312.0199966430664,156.01,127407.6015625,4.824060440063477
22,-386.93999938964845,193.47,125484.171875,5.060441970825195
23,-365.4200012207031,182.70999999999998,125454.7109375,5.491028308868408
24,-319.1800018310547,159.59,119455.734375,4.722900390625
25,-394.6,197.3,126522.453125,4.968017816543579
26,-334.2200073242187,167.11,130101.828125,4.912977695465088
27,-351.35999908447263,175.68,121414.984375,5.05776834487915
28,-376.7800018310547,188.39,120609.796875,5.307779312133789
29,-348.5400024414063,174.26999999999998,118083.125,5.2561070919036865
30,-342.2800048828125,171.14,118984.578125,4.813208341598511
31,-371.2,185.59999999999997,115923.828125,5.275243043899536
32,-341.11999664306643,170.56,126707.734375,5.1227405071258545
33,-307.679997253418,153.83999999999997,123279.9765625,4.8910229206085205
34,-406.3399993896484,203.17000000000002,114090.953125,5.220732927322388
35,-337.4200012207031,168.70999999999998,121804.0234375,4.6798930168151855
36,-350.5800018310547,175.29000000000002,121415.796875,4.832295656204224
37,-315.43999938964845,157.72,124770.2265625,5.073251724243164
38,-349.6599975585938,174.83,127024.046875,5.008775949478149
39,-346.94000549316405,173.46999999999997,127454.0,5.225910663604736
40,-382.5799987792969,191.29000000000002,125139.7890625,5.078367471694946
41,-333.320002746582,166.66,126820.7734375,5.005343437194824
42,-336.76000213623047,168.38,120362.578125,4.887166738510132
43,-355.4600036621094,177.73,120657.390625,5.127650022506714
44,-334.8199981689453,167.41000000000003,125402.328125,5.62315821647644
45,-349.0799987792969,174.54,122943.9765625,4.9464921951293945
46,-347.14000396728517,173.57,131099.03125,4.693887233734131
47,-310.48000183105466,155.23999999999998,114327.125,5.0408852100372314
48,-312.91999969482424,156.45999999999998,123880.625,4.93592381477356
49,-341.2800003051758,170.64,121375.453125,4.934242248535156
50,-331.679997253418,165.84000000000003,120023.3984375,4.787484407424927
51,-371.1600036621094,185.57999999999998,122141.9609375,5.118690729141235
52,-348.3199981689453,174.16,113886.6875,4.910138845443726
53,-324.86000366210936,162.42999999999998,109521.6875,5.280255556106567
54,-331.2199951171875,165.61,119028.9609375,4.850240707397461
55,-363.9199951171875,181.96000000000004,121272.234375,4.797959089279175
56,-364.13999938964844,182.07,103769.6875,5.0121848583221436
57,-349.9600036621094,174.98,108303.1015625,4.979807615280151
58,-315.46000213623046,157.72999999999996,119390.5,4.633225917816162
59,-392.4199951171875,196.20999999999998,101478.78125,4.599851846694946
60,-288.0399963378906,144.02000000000004,100954.171875,5.115994691848755
61,-354.64000091552737,177.32,96533.6796875,5.035655975341797
62,-319.4600006103516,159.73,95691.703125,4.8401031494140625
63,-313.3,156.65000000000003,92910.578125,5.03798508644104
64,-369.35999755859376,184.68,90950.7109375,4.474117279052734
65,-321.09999694824216,160.55,83613.7421875,4.9968650341033936
66,-317.4800003051758,158.73999999999998,92891.6640625,5.03240966796875
67,-390.13999633789064,195.07000000000002,93227.8125,5.221018314361572
68,-337.3600051879883,168.67999999999998,70493.78125,4.755889892578125
69,-310.6600006103516,155.32999999999998,72952.7265625,5.073323011398315
70,-355.76000061035154,177.88000000000002,61473.59375,4.8193933963775635
71,-325.82000122070315,162.91,60929.26171875,4.981393337249756
72,-382.4599975585937,191.23000000000002,57780.65625,5.084731340408325
73,-359.23999481201173,179.62,49497.6484375,5.058770418167114
74,-330.6999969482422,165.35,38937.79296875,4.965629577636719
75,-356.36000061035156,178.18,35326.7578125,5.169766902923584
76,-328.5399993896484,164.27,25587.2265625,4.822023391723633
77,-342.48000183105466,171.23999999999998,26191.37890625,5.293472766876221
78,-317.0599990844727,158.53,16786.31640625,5.181752681732178
79,-315.09999694824216,157.55,15924.443359375,5.079043388366699
80,-365.3,182.65,12376.0654296875,5.08958101272583
81,-320.7800003051758,160.39000000000001,8993.8291015625,4.982771635055542
82,-324.5,162.25,10323.3564453125,4.9470953941345215
83,-336.2999969482422,168.15,9105.599609375,5.466900825500488
84,-370.1600006103516,185.07999999999998,14066.654296875,5.002073049545288
85,-315.15999908447264,157.58,13910.7626953125,5.120145320892334
86,-323.41999969482424,161.70999999999998,17245.126953125,4.820213556289673
87,-366.4599945068359,183.23000000000002,13751.0283203125,5.441368103027344
88,-374.0399993896484,187.01999999999998,16282.833984375,5.003987073898315
89,-333.52000122070314,166.76000000000005,15616.880859375,4.695450305938721
90,-323.8400024414062,161.92000000000002,9833.025390625,5.152849912643433
91,-332.8399993896484,166.42000000000002,9187.552734375,5.0789477825164795
92,-370.4599975585937,185.23,8338.982421875,5.078577756881714
93,-321.64000396728517,160.82,7550.1865234375,5.015352010726929
94,-332.02000122070314,166.01,5103.138671875,4.912380218505859
95,-365.9600036621094,182.98,7088.7060546875,5.390569448471069
96,-330.54000396728514,165.27,5964.69775390625,4.962941408157349
97,-341.48000183105466,170.74,7037.05712890625,5.294905424118042
98,-337.3199996948242,168.66,6826.13916015625,4.5644261837005615
99,-336.65999603271484,168.32999999999998,5072.5439453125,5.060758113861084
100,-352.7399963378906,176.37,5906.72216796875,4.796200275421143
101,-386.6000030517578,193.29999999999998,7983.2529296875,5.465354681015015
102,-380.36000366210936,190.18,5572.6376953125,5.043809175491333
103,-338.3399963378906,169.17000000000002,8838.0,4.956400394439697
104,-370.98000183105466,185.48999999999998,5735.88330078125,5.2315943241119385
105,-335.88000030517577,167.94,5828.7939453125,5.0339508056640625
106,-328.8399993896484,164.42,5589.58984375,5.092039346694946
107,-331.679997253418,165.84,4800.8427734375,5.033182382583618
108,-344.8,172.4,4384.8857421875,5.0701353549957275
109,-372.3799987792969,186.19000000000003,5488.71044921875,5.046545505523682
110,-406.7999969482422,203.4,5462.0166015625,5.273308753967285
111,-363.6600006103516,181.82999999999998,6215.20068359375,5.296093463897705
112,-335.0799926757812,167.54000000000002,5846.8740234375,5.010723114013672
113,-369.8399993896484,184.92000000000002,4803.1328125,5.067187547683716
114,-342.62000274658203,171.31,6384.5673828125,5.416887283325195
115,-368.1600006103516,184.08,5196.48974609375,5.268027305603027
116,-400.9999969482422,200.5,5683.8671875,5.069454669952393
117,-368.0400054931641,184.01999999999998,4635.3740234375,5.442603349685669
118,-352.1199981689453,176.06,4907.27685546875,5.052030086517334
119,-353.6200012207031,176.81,4618.7119140625,5.20348596572876
120,-326.84000091552736,163.42,3222.600830078125,5.131099224090576
121,-389.4999938964844,194.75000000000003,5734.4814453125,5.150635242462158
122,-318.1000015258789,159.05,5614.04541015625,5.2763895988464355
123,-310.5800018310547,155.29000000000002,3960.173095703125,4.9598939418792725
124,-362.8800018310547,181.44,4496.65283203125,5.109822511672974
125,-364.7,182.35,5232.20166015625,5.050234079360962
126,-333.62000274658203,166.81,4439.4404296875,4.826931715011597
127,-360.0399993896484,180.02,5506.8623046875,5.103041887283325
128,-374.1,187.04999999999998,4542.9833984375,5.031618356704712
129,-356.22000274658205,178.10999999999999,5012.48193359375,4.968821048736572
130,-334.2199996948242,167.11,5539.04736328125,4.837673664093018
131,-305.7000076293945,152.84999999999997,5398.5927734375,5.102489709854126
132,-329.06000061035155,164.53,6054.46484375,5.012104034423828
133,-381.6800018310547,190.83999999999997,6022.76904296875,5.043076753616333
134,-311.4000015258789,155.7,5955.62109375,5.195063352584839
135,-377.7199966430664,188.86,4295.69091796875,5.161437034606934
136,-373.26000061035154,186.63,6665.83740234375,4.9704835414886475
137,-301.7799987792969,150.89000000000001,5348.189453125,4.985426425933838
138,-354.17999877929685,177.08999999999997,4727.98876953125,5.253918886184692
139,-353.5799957275391,176.79000000000002,4623.69384765625,5.113314867019653
140,-319.37999725341797,159.69,5616.71435546875,4.86030387878418
141,-352.25999755859374,176.13,4681.10107421875,5.276202440261841
142,-336.62000274658203,168.31,5054.4970703125,5.173945188522339
143,-352.3800018310547,176.19,5381.55615234375,5.143446207046509
144,-366.17999877929685,183.09000000000003,5248.42431640625,5.072408199310303
145,-315.26000213623047,157.63,3641.240966796875,4.919942855834961
146,-348.9800048828125,174.48999999999998,4538.47509765625,4.9985880851745605
147,-354.2199981689453,177.10999999999999,5042.10791015625,5.205294847488403
148,-382.1,191.05,6246.60009765625,5.11102819442749
149,-350.8,175.4,4973.92578125,4.979904890060425
150,-336.3000015258789,168.15,5604.74072265625,5.130759239196777
151,-353.42000274658204,176.71,4162.7587890625,5.269193649291992
152,-373.7600036621094,186.88,4758.61328125,5.410492420196533
153,-360.5800048828125,180.29,3746.65576171875,4.978118658065796
154,-353.62000427246096,176.81,6594.09130859375,5.08251428604126
155,-331.00000457763673,165.49999999999997,6431.3798828125,4.774091720581055
156,-332.97999877929686,166.49000000000004,4628.46044921875,5.096847772598267
157,-361.6600006103516,180.82999999999998,4573.5673828125,5.179549932479858
158,-392.0799987792969,196.04000000000002,4539.64892578125,5.621854066848755
159,-320.67999572753905,160.34,4953.744140625,5.11753249168396
160,-395.98000183105466,197.98999999999998,4145.51513671875,4.992992639541626
161,-315.61999969482423,157.81,4537.6455078125,4.945197820663452
162,-305.3199981689453,152.66000000000003,5020.138671875,4.87872576713562
163,-368.03999786376954,184.02,4991.55908203125,5.137641191482544
164,-322.17999877929685,161.09,6309.49462890625,5.117497444152832
165,-304.0799987792969,152.04000000000002,6121.58740234375,4.955625057220459
166,-300.57999725341796,150.29,4566.39111328125,4.7845025062561035
167,-312.16000213623045,156.07999999999998,5652.77490234375,4.97514796257019
168,-382.5800018310547,191.29,4911.16015625,5.193711757659912
169,-321.3999954223633,160.70000000000002,4850.7548828125,5.195829391479492
170,-389.14000244140624,194.57,4890.7353515625,5.070245742797852
171,-366.7199981689453,183.35999999999999,3690.14013671875,4.98951530456543
172,-354.7199981689453,177.36,6010.64306640625,5.535371780395508
173,-299.97999572753906,149.99,6128.26611328125,4.8977370262146
174,-348.179997253418,174.09,6707.66552734375,5.489643096923828
175,-319.35999908447263,159.68,4295.4521484375,5.085136651992798
176,-355.1800018310547,177.58999999999997,5054.5791015625,5.117441892623901
177,-372.9,186.45,4938.5068359375,5.180386066436768
178,-335.13999938964844,167.57,5277.34228515625,5.022973537445068
179,-367.1000015258789,183.55,4529.8740234375,5.278108596801758
180,-354.70000610351565,177.35,4984.0556640625,4.997792482376099
181,-333.5399993896484,166.77,6504.9248046875,5.221576929092407
182,-344.63999938964844,172.32,5251.169921875,5.406768083572388
183,-358.4200012207031,179.20999999999998,5007.91162109375,5.114269495010376
184,-330.0199996948242,165.01000000000002,3831.975830078125,5.007344722747803
185,-357.8799987792969,178.94,4833.2490234375,5.025899171829224
186,-371.13999633789064,185.57000000000002,5599.7158203125,5.245630264282227
187,-334.3,167.15,6678.63916015625,5.152166366577148
188,-345.06000061035155,172.53,7540.9716796875,5.155326843261719
189,-404.25999755859374,202.13,5187.48046875,5.184915781021118
190,-348.9200073242188,174.45999999999998,5168.8544921875,5.22838282585144
191,-342.3000030517578,171.15,5728.625,5.5389440059661865
192,-331.64000244140624,165.82,4430.06689453125,5.0696399211883545
193,-369.5399963378906,184.77,5547.0517578125,4.998973608016968
194,-377.2,188.6,4772.56884765625,5.339505195617676
195,-370.93999938964845,185.47,5115.02490234375,5.21399998664856
196,-373.1,186.55,6098.95458984375,5.1408491134643555
197,-397.4199981689453,198.71,5717.8876953125,4.96952486038208
198,-304.05999755859375,152.03,3950.04638671875,5.076684474945068
199,-327.06000061035155,163.53,5080.98291015625,5.1711156368255615
200,-349.6200012207031,174.81,4258.8212890625,5.085461854934692
201,-344.63999633789064,172.32,5218.2861328125,5.2214860916137695
202,-354.5600067138672,177.27999999999994,5983.44384765625,4.8296825885772705
203,-337.72000274658205,168.86,6284.08349609375,5.303001165390015
204,-347.4,173.7,6265.8583984375,5.401088237762451
205,-319.3999984741211,159.70000000000002,4489.37451171875,5.222394943237305
206,-355.94000244140625,177.97,5292.5703125,5.435081243515015
207,-327.6000015258789,163.8,4604.9921875,5.070497512817383
208,-325.7999984741211,162.9,4869.244140625,5.268163442611694
209,-333.06000366210935,166.52999999999997,4553.9619140625,5.243813514709473
210,-355.59999694824216,177.8,5008.49609375,5.288926601409912
211,-302.85999755859376,151.43,4693.9521484375,5.002548694610596
212,-339.7000045776367,169.85,4072.12255859375,5.2978551387786865
213,-381.9999938964844,191.00000000000003,4406.373046875,5.218064785003662
214,-313.0799987792969,156.54000000000002,5426.6591796875,5.162187576293945
215,-317.56000061035155,158.78,4137.7138671875,5.305931091308594
216,-343.35999908447263,171.68,4795.75537109375,5.057398557662964
217,-290.84000396728516,145.42000000000002,5735.64306640625,4.89544415473938
218,-349.4000015258789,174.7,3291.660888671875,5.363795280456543
219,-312.74000091552733,156.37000000000003,5323.1904296875,5.087404012680054
220,-343.74000091552733,171.87000000000003,4932.46142578125,5.253850936889648
221,-346.8400024414062,173.42000000000002,6784.6474609375,5.265868186950684
222,-304.6000030517578,152.3,5702.72998046875,5.203747272491455
223,-382.13999633789064,191.07000000000002,5006.8466796875,5.024825096130371
224,-333.479997253418,166.73999999999998,4737.99755859375,4.969831943511963
225,-322.59999694824216,161.3,3680.828125,4.996896505355835
226,-372.7,186.35000000000002,6196.48583984375,5.3527140617370605
