Epoch,Reward,Burned Cells,Loss,Time Elapsed
1,11.41865074634552,138.7577777777778,0.0,8.563285112380981
2,15.16198410987854,143.71873015873015,0.0,6.111329793930054
3,15.416150522232055,141.5127380952381,0.0,7.059853553771973
4,26.055555438995363,145.14027777777778,0.0,7.604478120803833
5,16.47499990463257,144.3983333333333,0.0,9.405896186828613
6,21.9202778339386,138.12333333333333,0.0,6.735611200332642
7,21.412063550949096,134.82238095238097,603.3540649414062,9.808034181594849
8,13.924364948272705,141.73880952380952,589.3825073242188,9.394345760345459
9,22.161468696594238,133.6825,604.4105224609375,8.955912113189697
10,25.75444459915161,146.31972222222223,721.7214965820312,6.29033899307251
11,24.100238513946532,124.78123015873015,647.3223266601562,8.667850255966187
12,22.271944570541383,128.91257936507935,720.2032470703125,8.618596076965332
13,16.504444313049316,135.18444444444444,621.4749145507812,7.229599237442017
14,11.201944494247437,154.30142857142857,528.68408203125,9.937991857528687
15,16.21345248222351,141.52341269841273,510.7872009277344,8.477777481079102
16,14.125396919250488,116.53988095238094,616.8272705078125,7.928811073303223
17,15.878214359283447,163.81202380952382,724.3834838867188,8.739879608154297
18,18.64345235824585,140.08571428571426,679.0734252929688,9.400427341461182
19,31.661785554885864,141.19873015873014,639.5529174804688,7.827981948852539
20,14.263968229293823,152.38396825396825,590.3902587890625,7.661849498748779
21,19.72238121032715,129.56873015873015,398.4223937988281,7.601180076599121
22,16.713809394836424,143.83539682539683,689.7288208007812,6.837555408477783
23,15.297499942779542,144.76607142857142,703.3988647460938,8.119184732437134
24,15.13194432258606,124.525,413.70379638671875,6.226766347885132
25,24.985079288482666,131.75428571428571,592.4808349609375,7.656934022903442
26,20.099245834350587,151.28154761904761,655.6519775390625,8.70962381362915
27,17.990277767181396,142.78055555555554,592.1240234375,7.609030246734619
28,17.653055572509764,135.2575,505.35797119140625,6.236479997634888
29,18.55480170249939,139.1302380952381,370.39703369140625,7.927918195724487
30,15.51873025894165,150.34242063492064,702.0176391601562,7.7229533195495605
31,17.32242045402527,146.3986111111111,396.49493408203125,6.387740850448608
32,22.762539386749268,134.24674603174603,491.50262451171875,8.562494277954102
33,16.45583333969116,135.40138888888887,466.748291015625,8.106812238693237
34,9.826111125946046,134.7088888888889,438.59246826171875,7.1310765743255615
35,13.931349277496338,145.8579365079365,400.6518249511719,8.84478759765625
36,14.574722194671631,146.40150793650793,269.4104309082031,7.833277702331543
37,24.971666479110716,124.07190476190476,407.86187744140625,8.303103685379028
38,18.08750009536743,140.74944444444446,431.0945739746094,8.290410280227661
39,14.994722175598145,130.6288888888889,457.9788513183594,7.214195251464844
40,15.443055391311646,131.07777777777778,447.46746826171875,6.877900123596191
41,17.995833349227905,157.2438492063492,382.7503967285156,8.837805271148682
42,13.91805558204651,152.06686507936507,435.3997497558594,7.158883333206177
43,16.723531818389894,153.9965873015873,400.0052795410156,7.564461946487427
44,18.231666851043702,127.74416666666666,380.04974365234375,8.156293153762817
45,11.987817525863647,136.48670634920634,606.197998046875,9.65238642692566
46,20.720277881622316,125.08777777777777,568.35302734375,7.13146710395813
47,21.197777557373048,123.63111111111111,355.83282470703125,8.242409706115723
48,20.912777709960938,144.53805555555556,333.218505859375,8.904719829559326
49,14.713214349746703,146.27535714285716,348.19598388671875,6.685176849365234
50,26.560317480564116,134.55238095238096,344.8322448730469,7.428791284561157
51,15.532499980926513,145.54488095238094,216.25247192382812,7.442065954208374
52,15.46519832611084,136.18277777777777,327.67376708984375,7.76905083656311
