epoch,reward,loss,policy_loss,value_loss,entropy
118,20.5850,0.7315,0.2729,0.9740,5.6938
119,16.7202,0.6049,0.2195,0.8276,5.6919
120,25.6522,0.6029,0.1699,0.9230,5.6914
121,17.6028,0.6598,0.2091,0.9584,5.6924
122,25.2453,0.6328,0.2092,0.9042,5.6932
123,24.5002,0.4914,0.0515,0.9366,5.6920
124,17.4439,0.6486,0.1884,0.9772,5.6915
125,21.2147,0.6300,0.2108,0.8954,5.6934
126,25.6683,0.6566,0.2151,0.9400,5.6922
127,39.9817,0.6733,0.2231,0.9573,5.6914
128,30.0067,0.9984,0.5524,0.9489,5.6922
129,29.4842,0.7063,0.2663,0.9369,5.6904
130,26.1006,0.5763,0.1556,0.8984,5.6905
131,19.6813,0.6859,0.2538,0.9211,5.6919
132,18.3957,0.4326,0.0307,0.8607,5.6920
133,21.6603,0.5318,0.1497,0.8211,5.6933
134,25.4556,0.6693,0.2254,0.9447,5.6913
135,20.9250,0.7438,0.3019,0.9407,5.6916
136,21.8507,0.4814,0.0787,0.8622,5.6922
137,25.3217,0.6197,0.2001,0.8960,5.6909
138,24.1130,0.5145,0.0507,0.9845,5.6919
139,30.0449,0.6090,0.1734,0.9281,5.6923
140,21.9028,0.5840,0.1480,0.9289,5.6917
141,13.6345,0.5277,0.1574,0.7975,5.6917
142,39.1821,0.6082,0.1904,0.8925,5.6923
143,17.3427,0.6132,0.1949,0.8936,5.6914
144,25.9288,0.5205,0.0742,0.9496,5.6917
145,18.8731,0.6443,0.1958,0.9540,5.6919
146,24.4634,0.5847,0.1495,0.9273,5.6922
147,34.5433,0.6130,0.1484,0.9861,5.6918
148,18.5901,0.5824,0.1456,0.9305,5.6927
149,21.0492,0.6947,0.2992,0.8479,5.6922
150,19.8792,0.6501,0.1840,0.9890,5.6904
151,18.7784,0.7025,0.2852,0.8916,5.6917
152,19.3720,0.5663,0.1375,0.9146,5.6922
153,22.6248,0.5176,0.1069,0.8785,5.6920
154,23.6675,0.7346,0.2703,0.9855,5.6922
155,30.3067,0.5774,0.1481,0.9156,5.6918
156,39.9253,0.8172,0.3812,0.9287,5.6921
157,21.0942,0.5192,0.1129,0.8695,5.6916
158,27.9483,0.7314,0.2962,0.9273,5.6909
159,31.6477,0.4881,0.0597,0.9138,5.6920
160,26.0844,0.8057,0.3750,0.9184,5.6914
161,37.7198,0.5590,0.1586,0.8579,5.6929
162,29.2600,0.7201,0.3153,0.8665,5.6921
163,27.0706,0.7278,0.2773,0.9580,5.6909
164,20.3705,0.6488,0.1995,0.9556,5.6924
165,22.4300,0.5406,0.0890,0.9601,5.6915
166,27.9904,0.6777,0.2345,0.9433,5.6917
167,16.5085,0.6861,0.2664,0.8963,5.6909
168,23.1149,0.5816,0.1386,0.9431,5.6931
169,22.3517,0.4814,0.0431,0.9334,5.6914
170,22.9294,0.8774,0.4260,0.9598,5.6915
171,17.5800,0.5349,0.0982,0.9302,5.6924
172,28.2253,0.7335,0.2790,0.9660,5.6934
173,32.2044,0.4979,0.0480,0.9569,5.6927
174,22.9542,0.6735,0.2796,0.8447,5.6915
175,31.4698,0.6764,0.2258,0.9581,5.6916
176,15.2686,0.4441,0.0180,0.9092,5.6927
177,27.9486,0.4936,0.0459,0.9522,5.6933
178,19.8130,0.4905,0.0279,0.9822,5.6911
179,15.1347,0.9904,0.5198,0.9982,5.6912
180,18.1650,1.0391,0.6380,0.8590,5.6926
181,21.8099,0.5611,0.1043,0.9704,5.6927
182,20.6703,0.5518,0.1117,0.9371,5.6913
183,18.0088,0.7409,0.3456,0.8474,5.6930
184,22.6669,0.6864,0.2295,0.9707,5.6933
185,17.8264,0.6376,0.1763,0.9796,5.6928
186,15.1736,0.5830,0.1460,0.9310,5.6922
187,26.2562,0.6640,0.2615,0.8620,5.6917
188,29.0535,0.9213,0.4676,0.9644,5.6912
189,23.6719,0.6457,0.2008,0.9468,5.6917
190,21.4097,0.6135,0.1859,0.9121,5.6920
191,18.8930,0.8881,0.4540,0.9251,5.6921
192,16.4571,0.6384,0.1939,0.9458,5.6922
193,38.7220,0.5562,0.1593,0.8508,5.6907
194,23.8517,0.5781,0.1593,0.8945,5.6923
195,18.8912,0.4847,0.0662,0.8939,5.6920
196,31.6666,0.6865,0.2330,0.9639,5.6924
197,36.7639,0.6282,0.2108,0.8916,5.6917
198,35.9242,0.4600,0.0224,0.9320,5.6915
